URL,Filesize,Number of Outgoing links,Content type
http://www.latimes.com/la-bio-javier-panzar-staff.html,96087,181,text/html
http://www.latimes.com/sports/more/,235814,208,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-critics-choice-20180927-story.html,193877,152,text/html
http://www.latimes.com/sports/dodgers/la-sp-dodgers-plaschke-20180930-story.html,209284,152,text/html
http://www.latimes.com/world/europe/,156588,207,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-new-york-film-festival-chang-notebook-20180927-story.html,225393,162,text/html
http://www.latimes.com/health/,245501,211,text/html
http://www.latimes.com/world/asia/la-fg-kidney-emails-20181001-story.html,135771,154,text/html
http://www.latimes.com/sports/angels/la-sp-angels-mike-scioscia-20180930-story.html,231512,152,text/html
http://www.latimes.com/la-bio-anne-harnagel-staff.html,96486,183,text/html
http://www.latimes.com/brandpublishing/localplus/,135177,59,text/html
http://www.latimes.com/travel/la-tr-new-zealand-wearable-art-20180929-htmlstory.html,120999,184,text/html
http://www.latimes.com/entertainment/movies/la-tom-hulce-20180927-story.html,204341,152,text/html
http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-may-2018-measures-to-end-forced-arbitration-of-1538341555-htmlstory.html,191910,178,text/html
http://www.latimes.com/fashion/la-ig-la-phil-gala-20180929-story.html,227004,150,text/html
http://www.latimes.com/la-bio-sonaiya-kelley-staff.html,100580,180,text/html
http://www.latimes.com/home/la-hm-gg-orchid-sale-20180929-story.html,192089,155,text/html
http://www.latimes.com/world/la-fg-quake-tsunami-indonesia-20180930-story.html,184181,152,text/html
http://www.latimes.com/la-bio-ryan-menezes-staff.html,99849,188,text/html
http://www.latimes.com/entertainment/music/,245423,210,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-capsule-bad-reputation-review-20180927-story.html,198299,151,text/html
http://www.latimes.com/sports/mlb/,236832,209,text/html
http://www.latimes.com/opinion/readersreact/,150744,206,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-hell-fest-review-20180927-story.html,197817,151,text/html
http://www.latimes.com/local/abcarian/,162872,207,text/html
http://www.latimes.com/world/la-fg-japan-ohtani-20180928-story.html,134526,151,text/html
http://www.latimes.com/food/jonathan-gold/,237291,207,text/html
http://www.latimes.com/newsletters/sports/lanews-helene-elliott-20130507-staff.html,98027,183,text/html
http://www.latimes.com/about/la-sitemap-htmlstory.html,105817,240,text/html
http://www.latimes.com/sports/rams/,242168,209,text/html
http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-may-2018-californians-will-get-help-clearing-1538364248-htmlstory.html,191575,180,text/html
http://www.latimes.com/sports/angels/,243001,208,text/html
http://www.latimes.com/local/weather/,115717,185,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-david-cronenberg-beyond-fest-interview-20180928-story.html,232168,157,text/html
http://www.latimes.com/sports/ducks/,237002,207,text/html
http://www.latimes.com/business/technology/,158288,208,text/html
http://www.latimes.com/sports/chargers/,243472,211,text/html
http://www.latimes.com/world/europe/la-fg-france-beer-20181001-story.html,135802,150,text/html
http://www.latimes.com/la-bio-matt-stiles-staff.html,97751,182,text/html
http://www.latimes.com/sports/soccer/,239771,207,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-capsule-the-system-review-20180927-story.html,196141,151,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-capsule-summer-03-review-20180927-story.html,195840,151,text/html
http://www.latimes.com/fashion/la-ig-silverlake-conservatory-of-music-gala-20180930-story.html,228481,151,text/html
http://www.latimes.com/espanol/vidayestilo/,256412,205,text/html
